exp_name,timestamp,n_questions,n_filings,n_chunks,context_recall,faithfulness,answer_relevancy,hit_at_5,citation_accuracy,mean_latency_ms,total_cost_usd,hit_at_5_content,citation_accuracy_content
exp_001_naive_baseline,2026-09-05T07:45:04,139,20,4447,0.8057851239669421,0.884705922936188,0.7428004124656576,0.60431654676259,0.5611510791366906,8731.791366906475,0.03807052499999999,,
exp_002_recursive,2026-09-05T09:07:05,139,20,5412,0.7913223140495868,0.8595232598378973,0.7080166941691972,0.3237410071942446,0.2158273381294964,9968.071942446044,0.029862524999999994,,
exp_003_semantic,2026-09-07T00:40:03,139,20,6858,0.756198347107438,0.8932369396340909,0.7103152731729213,0.3237410071942446,0.2302158273381295,8861.776978417267,0.03008385,0.5611510791366906,0.6690647482014388
exp_004_structural,2026-09-07T04:54:08,139,20,4952,0.7727272727272727,0.8826268732078163,0.7339717681600765,0.39568345323741005,0.2805755395683453,8908.093525179856,0.032694675,0.6906474820143885,0.6690647482014388
exp_020_bm25,2026-09-07T06:07:03,139,20,4447,0.7238292011019284,0.8603874524598208,0.6669699604206014,0.6115107913669064,0.539568345323741,4374.086330935252,0.03544597500000001,0.7194244604316546,0.7050359712230215
